"project_name","state","district","project_type","land_area","affected_families","current_stage","next_stage","snapshot_date","latitude","longitude","approvals_required","approvals_completed","approval_process_start_date","approval_expected_completion_date","oldest_pending_approval_days","legal_cases_total","legal_cases_resolved","disputed_land_area","oldest_pending_case_days","compensation_total_amount","compensation_paid_amount","beneficiaries_eligible","beneficiaries_compensated","compensation_expected_completion_date","documents_required","documents_submitted","documents_verified","notifications_required","notifications_issued","parcels_total","parcels_disputed","ownership_claims_total","ownership_conflicts_pending","ownership_conflicts_resolved","rr_families_required","rr_families_completed","land_required_for_possession","land_acquired_for_possession","possession_status","stakeholder_requests_raised","stakeholder_responses_received","average_response_time_days","departments_involved","coordination_requests_raised","coordination_requests_resolved"
"Pune Ring Road West Alignment Package II","Maharashtra","Pune","HIGHWAY","165","520","Objection / Hearing","Land & Ownership Verification","2026-07-20","18.5204","73.8567","15","11","2025-07-01","2026-10-31","65","9","4","19.5","150","190000000","72000000","495","185","2027-01-31","520","410","310","5","4","680","54","710","41","22","160","45","165","55","IN_PROGRESS","28","18","15","5","20","12"
"Jewar International Airport Cargo Link Rail","Uttar Pradesh","Noida","RAILWAY","92.5","280","Rehabilitation & Resettlement","Possession","2026-07-25","28.5355","77.391","14","14","2024-10-01","2026-02-28","0","3","3","0","0","84000000","81000000","275","268","2026-08-31","280","280","275","4","4","360","4","365","2","16","82","78","92.5","85","SUBSTANTIAL_POSSESSION","16","16","6.8","4","15","14"
"Thane-Borivali Twin Tunnel South Approach","Maharashtra","Thane","HIGHWAY","28","390","Notification","Objection / Hearing","2026-08-01","19.2183","72.9781","12","6","2026-01-10","2026-11-30","110","15","1","8.5","220","160000000","12000000","370","25","2027-06-30","390","180","90","4","2","310","68","350","55","8","140","10","28","3.2","NOT_STARTED","35","12","25","6","24","7"
"Madurai Industrial Corridor Water Feeder Pipeline","Tamil Nadu","Madurai","PIPELINE","52","140","Award / Valuation","Compensation Disbursement","2026-08-05","9.9252","78.1198","9","8","2025-06-10","2026-09-30","35","2","1","3","80","36000000","22000000","135","85","2026-11-30","140","132","120","3","3","195","8","200","6","10","25","18","52","35","PARTIAL_POSSESSION","11","9","9.2","3","9","7"
"Jaipur Smart City Northern Bypass Interchange","Rajasthan","Jaipur","HIGHWAY","74","360","Compensation Disbursement","Rehabilitation & Resettlement","2026-08-10","26.9124","75.7873","11","10","2025-02-15","2026-08-15","20","5","4","4.2","60","68000000","54000000","345","280","2026-11-15","360","345","320","4","4","410","18","420","12","24","95","70","74","58","PARTIAL_POSSESSION","16","14","8.8","4","13","11"
"Surat Diamond Bourse Connectivity Link","Gujarat","Surat","URBAN","31.2","190","Possession","Acquisition Completion","2026-08-15","21.1702","72.8311","10","10","2024-11-20","2026-03-31","0","2","2","0","0","42000000","41500000","185","182","2026-07-31","190","190","188","3","3","220","1","222","1","12","42","41","31.2","29.8","SUBSTANTIAL_POSSESSION","12","12","6.2","3","11","11"
"Indore-Ujjain Industrial Water Supply Conduit","Madhya Pradesh","Indore","PIPELINE","64","160","Land & Ownership Verification","Award / Valuation","2026-08-20","22.7196","75.8577","10","8","2025-08-01","2026-10-31","40","3","2","5","75","39000000","18000000","150","70","2026-12-31","160","140","110","3","3","230","15","235","11","9","30","14","64","26","IN_PROGRESS","14","10","11","3","10","7"
"Kolkata East-West Metro Extension Stabling Yard","West Bengal","Kolkata","RAILWAY","45","480","Objection / Hearing","Land & Ownership Verification","2026-08-25","22.5726","88.3639","14","9","2025-05-01","2026-11-30","90","16","3","14.5","240","125000000","30000000","460","110","2027-02-28","480","310","210","5","3","520","78","560","58","14","170","25","45","11","IN_PROGRESS","32","15","21","6","22","8"
"Nashik Agro-Industrial Processing Zone (COMPLETED TEST 1)","Maharashtra","Nashik","INDUSTRIAL","120","210","Acquisition Completion","","2026-09-01","19.9975","73.7898","12","12","2024-01-15","2024-10-31","0","6","6","0","0","75000000","75000000","210","210","2025-06-30","210","210","210","4","4","280","0","280","0","18","45","45","120","120","COMPLETED","16","16","5","4","14","14"
"Coimbatore Bypass Rail Flyover Link (COMPLETED TEST 2)","Tamil Nadu","Coimbatore","RAILWAY","58.5","165","Acquisition Completion","","2026-09-05","11.0168","76.9558","10","10","2024-03-01","2024-12-31","0","4","4","0","0","52000000","52000000","165","165","2025-08-31","165","165","165","3","3","220","0","220","0","12","32","32","58.5","58.5","COMPLETED","12","12","4.5","3","10","10"
